Symbol,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Industry,DPS,DY
GSPC,-0.004188588,-0.031040806,0.054892511,-0.017396107,0.00852082,0.010491382,-0.021011672,0.01974203,-0.062580818,-0.026442832,0.082983118,0.000504869,-0.017530185,-0.050735322,-0.00412836,0.065991115,0.002699398,0.015324602,0.000910921,0.035609801,-0.001219243,-0.001234451,-0.019425679,0.034174522,Index,0,0
MMM,0.026422724,-0.012293171,0.045588208,-0.021938897,-0.051894493,0.023632811,-0.030047748,-0.019183439,-0.054254017,-0.002603127,0.108908861,0.002536568,-0.037935914,0.002389872,0.0463801,0.06221723,0.00450095,0.012312099,0.040399171,0.01850156,0.011195648,-0.016793156,-0.062021207,0.045620677,Industrials,4.44,2.49
ABT,0.011458182,-0.000512552,0.058311062,-0.021954778,0.007068605,0.046962559,0.009876586,0.03779195,-0.106529854,-0.111945296,0.120341943,0.00267851,-0.000222539,-0.151884718,0.023513954,0.079762512,-0.064364343,0.018766042,-0.00807459,0.145399056,-0.061005544,0.006425525,-0.066222502,-0.029816563,HealthCare,1.04,2.65
ABBV,-0.054335141,-0.070857958,0.002485557,-0.032396697,0.113705072,0.029848377,0.009010408,0.049703473,-0.108555998,-0.128184575,0.104568915,-0.023509589,0.018744628,-0.063527764,-0.005282408,0.045962266,0.078188836,0.031639337,-0.016208454,0.079170028,-0.032160738,-0.016068677,-0.107431273,0.089996416,HealthCare,2.56,4.16
ACN,0.034518637,-0.059119846,0.071403046,0.040653152,-0.000523983,0.036589227,0.00770513,0.065406102,-0.085733727,0.042325342,0.102704904,0.000186608,-0.025368447,0.009952143,-0.050028376,0.151007333,-0.011989589,0.053577786,-0.047743113,-0.004236929,0.019413143,0.062347838,-0.038641469,0.027443239,InformationTechnology,0,0
ATVI,-0.069284046,0.037220833,0.115789532,-0.015323364,0.003959546,0.106923786,-0.04156772,0.065262322,0.110120143,0.078938242,0.125283218,0.083429226,0.027881005,-0.100490761,-0.090465244,0.077214369,0.018617051,0.138961325,0.009424427,0.013373681,0.030129457,0.070824271,-0.025507924,-0.151957315,InformationTechnology,0.26,0.71
AYI,0.013531126,0.071043054,0.05730871,0.061080293,-0.006416773,0.057142928,0.019774443,0.118595581,-0.03141308,-0.098989055,0.245845325,0.056175645,0.012647236,-0.133630418,0.034579791,0.04158912,0.118610166,0.062118297,-0.042773382,0.058883282,0.04835575,-0.038237833,-0.154615145,0.12452474,Industrials,0.52,0.21
ADBE,-0.013300801,-0.035350758,0.127905338,-0.065233832,0.028671841,0.039836946,0.024276218,0.012097222,-0.041712381,0.046455403,0.078326477,0.031581264,0.027115712,-0.051202948,-0.044653822,0.101585447,0.00447759,0.055720653,-0.036996079,0.021609771,0.045473094,0.060893394,-0.00948958,-0.0437169,InformationTechnology,0,0
AAP,0.083355809,-0.001757949,-0.025597472,-0.033435158,-0.04469233,0.071468556,0.040008477,0.093665713,0.005969855,0.081850606,0.046958245,-0.179912296,-0.074722801,0.010231963,-0.023742163,0.080575917,-0.026443792,-0.014477972,0.051050286,0.050918717,-0.073472279,-0.052094635,-0.060622273,0.211593365,ConsumerDiscretionary,0.24,0.14
AES,-0.00720973,-0.10537203,0.06137474,-0.009252109,0.031128367,0.034220612,-0.025000006,-0.027107885,-0.062500077,-0.184166622,0.128637834,-0.087671217,-0.042042079,0.004751334,0.031578956,0.20408162,-0.045006213,-0.006272503,0.125338171,-0.001537795,-0.022672126,0.064623109,-0.075442552,-0.027187766,Utilities,0.44,3.69
AET,0.018225659,0.036554524,0.084186456,0.070115458,0.005522893,0.103864501,0.080444104,-0.111735057,0.013720427,-0.044621025,0.051457555,-0.104809195,0.052262795,-0.055842539,0.066673194,0.034244725,0.001600853,0.008550931,0.078600981,-0.054631126,0.016578427,-0.014258936,-0.068129331,0.218816939,HealthCare,1,0.78
